	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104632	11.21932028	-6.601884623	2.149407742	-3.071490111	0.002129932	0.007844134
ENSDARG00000100422	274.7849208	-1.05006063	0.408626604	-2.569731434	0.010177738	0.029887653
ENSDARG00000102128	69.72392166	-2.8002562	0.809075949	-3.461054804	0.000538063	0.002355557
ENSDARG00000102226	139.7507116	-2.167463987	0.539664519	-4.016317377	5.91E-05	0.000334494
ENSDARG00000102123	204.6892541	-1.128102819	0.431786506	-2.612640283	0.008984581	0.026894195
ENSDARG00000101047	411.6926902	-1.141655574	0.384962822	-2.965625534	0.00302068	0.010625919
ENSDARG00000099833	168.5032495	-1.529761776	0.531814587	-2.876494578	0.004021191	0.013548867
ENSDARG00000045900	231.3107393	-3.078641708	0.460433913	-6.686392159	2.29E-11	4.44E-10
ENSDARG00000063686	407.7869856	-1.322608285	0.420494015	-3.145367681	0.001658782	0.006310615
ENSDARG00000063672	84.15176509	-2.066607927	0.655748894	-3.151523314	0.001624212	0.006192938
ENSDARG00000009657	1420.999003	-0.899217665	0.305783992	-2.94069568	0.003274761	0.011366132
ENSDARG00000070477	331.5734819	-0.797521344	0.380924202	-2.093648396	0.036291313	0.086292764
ENSDARG00000045877	3111.496805	-1.086410117	0.304645537	-3.566144866	0.000362271	0.001663291
ENSDARG00000006038	315.3416013	-0.970605275	0.389774022	-2.490174357	0.012768044	0.036197389
ENSDARG00000060248	27.41119657	-2.309451141	1.142569917	-2.021277741	0.043251022	0.099464317
ENSDARG00000017757	55.41360782	-3.323511213	0.947758815	-3.506705672	0.000453691	0.002032013
ENSDARG00000039843	157.7779189	-1.81527104	0.637702135	-2.846581406	0.004419143	0.01468844
ENSDARG00000073963	45.20278827	-3.760929918	1.074806979	-3.499167749	0.000466713	0.002079388
ENSDARG00000070408	27.42978139	-3.314208329	1.397142178	-2.372133904	0.01768568	0.047689058
ENSDARG00000045858	269.4306301	-2.411861393	0.466243123	-5.172969367	2.30E-07	2.23E-06
ENSDARG00000045846	899.8156954	-0.657004245	0.324093101	-2.027208363	0.042641108	0.09837862
ENSDARG00000006409	392.4442609	-2.396440394	0.372354256	-6.435915144	1.23E-10	2.15E-09
ENSDARG00000045835	10.60316811	-4.132887014	1.854970058	-2.228007399	0.025880022	0.065334802
ENSDARG00000009607	938.8153974	-1.921888301	0.422456589	-4.549315483	5.38E-06	3.90E-05
ENSDARG00000054321	16.71583334	-5.66998295	1.850622988	-3.063823905	0.002185275	0.008022584
ENSDARG00000005453	41.94602661	-2.221694709	0.832643678	-2.668241852	0.007624935	0.023352381
ENSDARG00000068701	243.7051255	-3.61049962	0.5456054	-6.617419149	3.66E-11	6.90E-10
ENSDARG00000102702	116.9891014	-1.816801493	0.546814104	-3.322521272	0.000892079	0.003678349
ENSDARG00000105079	82.4735259	-1.504188208	0.636623408	-2.36275982	0.018139421	0.048687131
ENSDARG00000006029	491.4313926	-0.935005195	0.391337918	-2.389252743	0.016882684	0.045816678
ENSDARG00000086740	271.7953978	-2.378501298	0.485629166	-4.897772758	9.69E-07	8.22E-06
ENSDARG00000075025	777.1888234	-0.989397086	0.324882824	-3.04539672	0.002323736	0.008455158
ENSDARG00000102020	75.42982995	-3.410225759	0.742092728	-4.595417298	4.32E-06	3.20E-05
ENSDARG00000088181	30.3090796	-4.388050809	1.3171134	-3.331566447	0.000863587	0.003579542
ENSDARG00000039681	861.1033622	-0.9925817	0.327623571	-3.029640684	0.002448448	0.008850175
ENSDARG00000077926	246.033721	-1.416729592	0.414405046	-3.418707387	0.000629193	0.002703699
ENSDARG00000045790	518.6749715	-1.829260111	0.353567002	-5.173729728	2.29E-07	2.22E-06
ENSDARG00000025859	866.9157248	-1.73629224	0.479971992	-3.617486579	0.000297478	0.001401572
ENSDARG00000058030	3035.39352	-1.46131989	0.293493908	-4.979046758	6.39E-07	5.65E-06
ENSDARG00000045704	316.2143589	-2.488040223	0.432665604	-5.75049229	8.90E-09	1.12E-07
ENSDARG00000033179	458.8220924	-1.813732576	0.42298218	-4.287964511	1.80E-05	0.000115598
ENSDARG00000096009	9.137483736	-6.307106024	2.265290062	-2.784237714	0.00536537	0.0173514
ENSDARG00000057974	406.2421978	-1.435908106	0.410087782	-3.50146522	0.000462707	0.002065291
ENSDARG00000003570	2002.927132	-1.474712021	0.324390838	-4.546096401	5.47E-06	3.96E-05
ENSDARG00000057942	46.94374541	-3.593899049	1.247424954	-2.881054317	0.003963473	0.013391094
ENSDARG00000062983	818.1291417	-3.446767427	0.346066183	-9.959850435	2.28E-23	1.66E-21
ENSDARG00000062968	1082.315117	-0.993624579	0.319237737	-3.112490986	0.001855157	0.006940764
ENSDARG00000057929	309.2719373	-0.857472414	0.404186158	-2.12147892	0.03388152	0.081544104
ENSDARG00000045749	181.6638908	-1.135073194	0.561880715	-2.020131966	0.043369701	0.099664744
ENSDARG00000045753	274.2435238	-1.37885417	0.44368025	-3.107765495	0.001885076	0.007041986
ENSDARG00000003822	168.5439893	-1.474969008	0.510910027	-2.886944723	0.003890026	0.013189255
ENSDARG00000007639	478.4909308	-2.063170424	0.52951687	-3.89632614	9.77E-05	0.000522427
ENSDARG00000041665	578.1043882	-3.178173751	0.441983872	-7.190700736	6.45E-13	1.57E-11
ENSDARG00000087319	28.1056016	-3.903735849	1.36904954	-2.851420445	0.004352438	0.014503756
ENSDARG00000019396	44.95677818	-2.54176335	1.10688508	-2.296320906	0.02165754	0.056372777
ENSDARG00000053127	225.3552685	-1.231592915	0.427378223	-2.881739988	0.003954859	0.013366072
ENSDARG00000053136	395.7267657	-2.649983396	0.438660377	-6.041082205	1.53E-09	2.25E-08
ENSDARG00000097457	74.98520348	-2.515568887	0.708583562	-3.550137237	0.00038503	0.001755041
ENSDARG00000096135	120.4132533	-3.481642591	0.60224699	-5.781087574	7.42E-09	9.57E-08
ENSDARG00000106390	88.91362757	-3.074025443	0.625115704	-4.917530344	8.76E-07	7.51E-06
ENSDARG00000045673	7.549630507	-6.029046919	2.442201169	-2.468693815	0.013560719	0.038136831
ENSDARG00000045675	102.5820035	-3.967948693	0.700319327	-5.665913449	1.46E-08	1.78E-07
ENSDARG00000045680	454.6250478	-1.79382521	0.518255049	-3.461278792	0.000537616	0.002354063
ENSDARG00000045681	194.9894734	-2.276843597	0.494313514	-4.606071925	4.10E-06	3.05E-05
ENSDARG00000045683	28.42944197	-7.94427134	1.761590771	-4.509714442	6.49E-06	4.64E-05
ENSDARG00000086259	38.57732272	-4.328028511	0.996423107	-4.343564977	1.40E-05	9.25E-05
ENSDARG00000090957	20.38590291	-3.166071515	1.30345793	-2.428978675	0.015141423	0.041843118
ENSDARG00000069780	65.75586839	-3.220970504	0.835966761	-3.852988727	0.000116685	0.000614233
ENSDARG00000097419	8.720118855	-3.68646916	1.812885254	-2.033481795	0.042003871	0.097181983
ENSDARG00000077090	14.9131053	-4.381659483	1.713638968	-2.556932682	0.010559965	0.030789463
ENSDARG00000045595	48.39393577	-6.330384665	1.368686106	-4.625154472	3.74E-06	2.81E-05
ENSDARG00000062651	1758.612013	-2.05856183	0.303248034	-6.788376516	1.13E-11	2.31E-10
ENSDARG00000093247	46.50130447	-2.46080127	0.772701887	-3.184670975	0.001449187	0.005608097
ENSDARG00000093168	11.04241228	-6.579578207	2.15076571	-3.059179425	0.002219442	0.00812353
ENSDARG00000093983	53.1447369	-8.847277579	1.632739298	-5.418671301	6.00E-08	6.52E-07
ENSDARG00000056954	21.26037667	-3.413974855	1.178380539	-2.897175185	0.003765394	0.012825639
ENSDARG00000020749	48.85769852	-3.51666742	0.830998152	-4.231859495	2.32E-05	0.000144846
ENSDARG00000022795	131.5453739	-1.431450843	0.495450718	-2.88918916	0.003862367	0.013103506
ENSDARG00000007405	1381.454524	-2.172375249	0.328652687	-6.609942147	3.84E-11	7.24E-10
ENSDARG00000016815	96.41002714	-4.203208828	0.758646767	-5.540403003	3.02E-08	3.48E-07
ENSDARG00000045568	88.28530473	-2.58187114	0.82921169	-3.113645371	0.001847915	0.006919517
ENSDARG00000007175	210.9977363	-1.909222528	0.431646243	-4.423118605	9.73E-06	6.68E-05
ENSDARG00000002174	551.0388033	-1.83678644	0.345905112	-5.31008758	1.10E-07	1.13E-06
ENSDARG00000006011	279.7427681	-3.931775078	0.479788016	-8.194817186	2.51E-16	9.02E-15
ENSDARG00000002128	476.8479004	-1.961834381	0.364002514	-5.389617673	7.06E-08	7.56E-07
ENSDARG00000045561	228.0691545	-3.846071336	0.487581449	-7.888059203	3.07E-15	9.89E-14
ENSDARG00000030153	232.0507489	-1.337841322	0.522161374	-2.562122341	0.010403466	0.030441453
ENSDARG00000045555	418.1977399	-2.516131796	0.429024793	-5.864770141	4.50E-09	6.05E-08
ENSDARG00000097195	50.54673272	-7.345953235	1.581762511	-4.644156871	3.41E-06	2.59E-05
ENSDARG00000031777	88.4667822	-1.288912886	0.602321381	-2.139908905	0.032362129	0.078364583
ENSDARG00000088733	52.57159389	-2.244263412	0.781289883	-2.872510526	0.004072245	0.013697946
ENSDARG00000045541	313.6605781	-1.279567014	0.456886759	-2.800621793	0.005100426	0.016613544
ENSDARG00000101236	91.76588284	-1.340339735	0.585985734	-2.287324857	0.022176869	0.057494623
ENSDARG00000017163	23.51460066	-7.669099519	1.839964025	-4.168070361	3.07E-05	0.000186147
ENSDARG00000004794	24.4411311	-2.610108147	1.058287493	-2.466350745	0.01364976	0.038357993
ENSDARG00000045481	194.8424808	-5.330488305	0.598593672	-8.905019466	5.34E-19	2.53E-17
ENSDARG00000045482	221.6035787	-2.368896699	0.436385201	-5.428453327	5.68E-08	6.20E-07
ENSDARG00000045484	337.7312436	-1.308876228	0.438682414	-2.98365329	0.002848293	0.010085237
ENSDARG00000011764	426.4968049	-1.146425414	0.410224838	-2.794627013	0.005195963	0.016884971
ENSDARG00000012729	327.4503712	-1.412635387	0.382753416	-3.69071921	0.000223621	0.001087722
ENSDARG00000061951	1134.376382	-0.671789952	0.312321416	-2.150957052	0.03147959	0.076587876
ENSDARG00000018111	134.6296384	-1.053515499	0.517707377	-2.034963276	0.041854568	0.096856802
ENSDARG00000062013	25.62053245	-5.226996917	1.463607877	-3.571309639	0.000355201	0.001634558
ENSDARG00000011769	267.1461841	-1.61235319	0.413892525	-3.895584224	9.80E-05	0.000523775
ENSDARG00000022187	197.527532	-1.341995951	0.435980841	-3.078107621	0.002083197	0.007693782
