	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000045914	2099.597028	0.753240497	0.294405542	2.558513303	0.01051208	0.030682185
ENSDARG00000045913	1553.765777	1.054741828	0.333470091	3.162927818	0.001561911	0.005980118
ENSDARG00000025073	6141.988152	2.133273046	0.359001048	5.942247401	2.81E-09	3.93E-08
ENSDARG00000096118	1127.372638	1.45359011	0.310702636	4.678396451	2.89E-06	2.23E-05
ENSDARG00000016968	581.8602386	1.061654276	0.442186613	2.400919079	0.016353953	0.044554102
ENSDARG00000045898	234.0228051	2.139541975	0.430079425	4.974760124	6.53E-07	5.76E-06
ENSDARG00000006060	367.8652766	2.42370862	0.49965528	4.850761551	1.23E-06	1.02E-05
ENSDARG00000104018	1727.071436	3.049415643	0.308824016	9.874282723	5.38E-23	3.76E-21
ENSDARG00000099129	75.22374056	2.547155475	0.67996324	3.746019378	0.000179663	0.000897502
ENSDARG00000101813	1843.233522	1.993022167	0.380879717	5.232681287	1.67E-07	1.66E-06
ENSDARG00000018149	220.2315374	1.373887387	0.437016782	3.143786337	0.001667772	0.006336101
ENSDARG00000045886	788.0914315	1.632533092	0.34475403	4.735356079	2.19E-06	1.73E-05
ENSDARG00000015921	847.96978	1.759793992	0.362156042	4.859214778	1.18E-06	9.82E-06
ENSDARG00000057714	299.2472294	9.583194284	1.134680755	8.445718533	3.02E-17	1.21E-15
ENSDARG00000045224	17.70338157	4.198414992	1.441969598	2.911583572	0.003596017	0.012330315
ENSDARG00000011961	231.2655458	2.898341909	0.433730056	6.682363534	2.35E-11	4.55E-10
ENSDARG00000008986	241.1903142	2.946630309	0.511877012	5.756520099	8.59E-09	1.09E-07
ENSDARG00000004592	26.84355045	6.178128003	1.452603923	4.253140105	2.11E-05	0.000132999
ENSDARG00000033296	16.30134184	3.048394245	1.388999018	2.194669834	0.02818729	0.070126762
ENSDARG00000107526	88.90018255	5.156125494	0.789761926	6.528708621	6.63E-11	1.21E-09
ENSDARG00000016691	3478.157666	2.085177008	0.347424852	6.001807286	1.95E-09	2.82E-08
ENSDARG00000100963	21.95588883	8.269626376	1.8616258	4.442152862	8.91E-06	6.17E-05
ENSDARG00000059043	83.92651622	5.945851248	0.948636151	6.267789018	3.66E-10	5.91E-09
ENSDARG00000059064	245.6870953	1.420907858	0.472849875	3.00498728	0.00265592	0.00950291
ENSDARG00000092677	111.450127	1.475088125	0.578431892	2.550150063	0.010767656	0.031328981
ENSDARG00000039343	172.9029466	1.47890893	0.450511687	3.282731549	0.001028065	0.004158487
ENSDARG00000045853	126.0832513	1.172996868	0.56604971	2.072250632	0.038242074	0.090041184
ENSDARG00000030694	1350.214543	1.915628587	0.445160502	4.30323126	1.68E-05	0.000108951
ENSDARG00000096037	59.57628027	5.907397765	1.077810877	5.480922385	4.23E-08	4.73E-07
