	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000102731	1072.610974	-5.45312846	0.419754775	-12.99122435	1.37E-38	2.17E-34
ENSDARG00000070360	587.6957114	-7.663797877	0.652882697	-11.73839942	8.10E-32	6.40E-28
ENSDARG00000038792	478.7079205	-4.784674426	0.456550911	-10.48004574	1.07E-25	5.62E-22
ENSDARG00000098062	371.4724405	-7.365427096	0.742892305	-9.914528727	3.60E-23	1.42E-19
ENSDARG00000043126	638.6751803	-4.434075554	0.449123811	-9.872724288	5.47E-23	1.73E-19
ENSDARG00000099761	274.4576504	-6.298214305	0.65012043	-9.687765549	3.40E-22	8.95E-19
ENSDARG00000098094	491.7024937	-4.778852264	0.507966776	-9.407804786	5.07E-21	1.14E-17
ENSDARG00000008796	328.8427794	-4.485584559	0.483219788	-9.282700488	1.65E-20	3.26E-17
ENSDARG00000097098	703.4031323	-10.02770379	1.112940578	-9.010098102	2.06E-19	3.61E-16
ENSDARG00000053569	419.0283102	-3.63056574	0.409636049	-8.862905855	7.80E-19	1.23E-15
ENSDARG00000109040	198.4745994	-6.452490963	0.741607717	-8.700679372	3.30E-18	4.74E-15
ENSDARG00000095635	221.1706002	-7.786194625	0.961493101	-8.09802443	5.59E-16	7.35E-13
ENSDARG00000105983	120.0437605	-5.888797324	0.801146137	-7.350465857	1.98E-13	2.40E-10
ENSDARG00000077712	5610.322935	-2.581263389	0.35484515	-7.274337527	3.48E-13	3.93E-10
ENSDARG00000002601	115.4161765	-5.503308039	0.778069737	-7.073026715	1.52E-12	1.60E-09
ENSDARG00000041959	911.5237309	-2.516157775	0.357903414	-7.030270402	2.06E-12	2.03E-09
ENSDARG00000057633	212.5609049	-3.510104407	0.502828561	-6.980718045	2.94E-12	2.73E-09
ENSDARG00000100673	94.80880069	-6.187630626	0.959819473	-6.446660857	1.14E-10	1.00E-07
ENSDARG00000096594	100.2950455	-3.987317433	0.645543029	-6.176687302	6.55E-10	5.44E-07
ENSDARG00000104576	103.1341343	-9.540814591	1.554042731	-6.139351511	8.29E-10	6.54E-07
ENSDARG00000058179	88.95295648	-9.32522132	1.553416252	-6.003040915	1.94E-09	1.39E-06
ENSDARG00000103339	100.6468218	-5.548425485	0.948518471	-5.849570309	4.93E-09	3.38E-06
ENSDARG00000056561	64.1628186	-8.855792926	1.586166812	-5.583140977	2.36E-08	1.49E-05
ENSDARG00000080001	68.10835786	-8.944495743	1.604592003	-5.574311556	2.49E-08	1.51E-05
ENSDARG00000094859	74.64786473	-6.808580377	1.228086458	-5.54405623	2.96E-08	1.73E-05
ENSDARG00000042899	95.90466242	-3.586635685	0.66410542	-5.400702327	6.64E-08	3.74E-05
ENSDARG00000094729	54.29295856	-8.61018461	1.598534296	-5.386299582	7.19E-08	3.92E-05
ENSDARG00000093284	60.1802929	-5.23863923	0.977355445	-5.360014371	8.32E-08	4.38E-05
ENSDARG00000093220	57.92079908	-5.779467549	1.088025007	-5.311888522	1.08E-07	5.53E-05
ENSDARG00000071629	72.86161266	-4.570370353	0.86520261	-5.282427836	1.27E-07	6.29E-05
ENSDARG00000040503	68.63195275	-7.580674675	1.44113518	-5.260210685	1.44E-07	6.89E-05
ENSDARG00000107562	64.89536915	-6.622679776	1.2603417	-5.254670043	1.48E-07	6.89E-05
ENSDARG00000076264	48.17231489	-8.438873241	1.61202496	-5.23495197	1.65E-07	7.13E-05
ENSDARG00000070705	414.0622759	-3.09217368	0.590921059	-5.232803323	1.67E-07	7.13E-05
ENSDARG00000086374	48.75868837	-8.462577212	1.634988112	-5.175925836	2.27E-07	8.95E-05
ENSDARG00000103700	63.05625603	-6.034726248	1.172092166	-5.148678939	2.62E-07	0.000101034
ENSDARG00000019417	45.35710257	-8.34823301	1.628271378	-5.127052606	2.94E-07	0.000110655
