	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000102731	609.5871043	-4.542838974	0.31255475	-14.53453825	7.32E-48	1.10E-43
ENSDARG00000099761	389.6901555	-6.216373453	0.450378951	-13.80253994	2.46E-43	1.84E-39
ENSDARG00000040295	367.1222257	-5.263412406	0.387491097	-13.58331184	5.03E-42	2.51E-38
ENSDARG00000043126	400.2383979	-4.398830121	0.344601095	-12.76499172	2.57E-37	9.63E-34
ENSDARG00000097098	440.3561558	-7.473265116	0.612602629	-12.19920511	3.14E-34	9.40E-31
ENSDARG00000008796	277.2539882	-5.353540659	0.44094996	-12.14092561	6.41E-34	1.60E-30
ENSDARG00000070360	376.9740183	-7.458724959	0.61945423	-12.04080076	2.17E-33	4.64E-30
ENSDARG00000053569	322.7907542	-4.54917901	0.380980509	-11.94071326	7.26E-33	1.36E-29
ENSDARG00000015906	249.7640702	-5.173893742	0.446325729	-11.59219245	4.51E-31	7.51E-28
ENSDARG00000038792	258.1013835	-5.589143578	0.496753447	-11.25134332	2.28E-29	3.41E-26
ENSDARG00000068409	290.3404731	-5.349545903	0.483181317	-11.07150819	1.72E-28	2.35E-25
ENSDARG00000041959	805.4319692	-2.687843052	0.253647435	-10.59676813	3.08E-26	3.85E-23
ENSDARG00000070705	170.2584293	-4.896826636	0.481552246	-10.16883771	2.73E-24	3.15E-21
ENSDARG00000002601	152.2866119	-5.334871841	0.550435504	-9.692092535	3.26E-22	3.48E-19
ENSDARG00000057633	190.8935998	-3.760062603	0.41064607	-9.156455833	5.36E-20	5.35E-17
ENSDARG00000095635	146.4897611	-6.943348513	0.842356352	-8.24276863	1.68E-16	1.57E-13
ENSDARG00000098062	110.1064708	-5.921256334	0.740968193	-7.991242257	1.34E-15	1.18E-12
ENSDARG00000053939	1865.075982	-2.226940311	0.294569327	-7.559987093	4.03E-14	3.35E-11
ENSDARG00000098094	141.1817213	-3.757370213	0.500164517	-7.512268633	5.81E-14	4.58E-11
ENSDARG00000058221	1940.006737	-1.680428563	0.231944853	-7.244948705	4.33E-13	3.24E-10
ENSDARG00000077540	910.5749243	-1.660083442	0.241042125	-6.887109209	5.69E-12	4.06E-09
ENSDARG00000058917	625.8714027	-7.014470938	1.020979513	-6.87033466	6.41E-12	4.36E-09
ENSDARG00000022995	1853.350655	-1.758722757	0.25645259	-6.857886506	6.99E-12	4.55E-09
ENSDARG00000013655	4151.245456	-1.496606638	0.224653231	-6.661852269	2.70E-11	1.69E-08
ENSDARG00000055381	326.7427914	-2.017294982	0.317467261	-6.354340204	2.09E-10	1.25E-07
ENSDARG00000062699	1043.645708	-1.854585834	0.293863529	-6.311044582	2.77E-10	1.60E-07
ENSDARG00000037182	3227.233481	-1.328706681	0.213546411	-6.222097937	4.91E-10	2.72E-07
ENSDARG00000099766	11736.27914	-1.615022494	0.260190212	-6.207083978	5.40E-10	2.89E-07
ENSDARG00000094859	92.22262132	-8.181680891	1.378522503	-5.935108692	2.94E-09	1.42E-06
ENSDARG00000105983	52.51439134	-4.628536957	0.781686667	-5.921217733	3.20E-09	1.50E-06
ENSDARG00000077712	2829.368815	-1.473021698	0.249649587	-5.900357044	3.63E-09	1.65E-06
ENSDARG00000002707	72.40402993	-3.424431292	0.582135416	-5.882533855	4.04E-09	1.78E-06
ENSDARG00000093284	62.32799866	-6.69804223	1.148613566	-5.831414869	5.50E-09	2.35E-06
